,id,cari,mig,sex,age,fam_size,rural_urban
2768,174915116,1,0,Woman,35,3,Urban
2769,174915084,2,0,Woman,25,4,Rural
2770,174915033,2,2,Woman,27,4,Rural
2771,174914958,2,0,Woman,58,4,Urban
2772,174914781,3,0,Woman,34,3,Urban
2773,174914306,2,0,Man,52,3,Rural
2774,174914304,1,1,Woman,25,4,Rural
2775,174914303,1,0,Man,46,6,Rural
2776,174914300,1,0,Man,51,4,Rural
2777,174914296,1,0,Man,44,5,Rural
2778,174914276,1,0,Man,43,3,Rural
2779,174914273,2,0,Woman,37,3,Rural
2780,174914270,2,0,Man,62,14,Rural
2781,174914269,1,0,Man,67,4,Rural
2782,174914265,2,0,Man,80,5,Rural
2783,174914226,1,0,Man,44,3,Urban
2784,174914225,1,0,Woman,47,4,Urban
2785,174914224,1,1,Woman,59,3,Urban
2786,174914222,1,0,Woman,62,3,Urban
2787,174914207,1,1,Man,52,1,Rural
2788,174914206,1,1,Woman,41,1,Rural
2789,174914205,1,1,Man,47,2,Rural
2790,174914203,2,1,Woman,42,3,Rural
2791,174914202,2,1,Woman,30,4,Rural
2792,174913660,1,1,Woman,42,4,Rural
2793,174913140,2,0,Woman,30,3,Urban
2794,174913137,1,0,Man,63,4,Urban
2795,174913135,1,0,Woman,53,2,Urban
2796,174913132,1,0,Man,19,5,Urban
2797,174913129,1,1,Man,30,6,Urban
2798,174913124,2,0,Woman,72,2,Urban
2799,174913120,2,0,Man,31,4,Urban
2800,174911904,2,0,Woman,18,3,Rural
2801,174911900,3,1,Woman,23,4,Rural
2802,174911893,2,0,Woman,62,4,Rural
2803,174911848,2,0,Woman,25,4,Rural
2804,174911843,1,1,Woman,30,4,Rural
2805,174911838,2,0,Woman,20,3,Rural
2806,174911707,2,0,Man,22,4,Rural
2807,174911704,2,0,Woman,20,4,Rural
2808,174911701,2,1,Woman,42,2,Rural
2809,174911695,2,0,Man,54,7,Rural
2810,174911667,2,0,Man,42,3,Rural
2811,174911666,2,1,Woman,59,11,Rural
2812,174911665,2,0,Woman,21,3,Rural
2813,174911662,1,1,Woman,27,6,Rural
2814,174911650,2,1,Woman,43,6,Rural
2815,174911624,2,0,Woman,23,3,Rural
2816,174911621,2,1,Woman,19,3,Rural
2817,174911616,2,1,Man,55,5,Rural
