,id,mig_categ,cari,cari_yn,country,neighborhood,rural_urban,sex,age,fam_type,fam_size
64,177567895,0.0,2,0,El Salvador,El carmen,Urban,Woman,50,Biparental,5
3903,174020979,0.0,2,0,El Salvador,Caserio la escuelita,Rural,Woman,50,Biparental,7
3843,174030925,0.0,1,0,El Salvador,"Ojo de agua, caserio los granados",Rural,Woman,50,else,8
718,176181451,0.0,2,0,El Salvador,"Maquilishuat,",Rural,Woman,51,Biparental,6
3579,174316193,0.0,1,0,El Salvador,Candelaria,Urban,Woman,51,Biparental,3
393,176467904,0.0,1,0,El Salvador,San marcos,Rural,Woman,52,Biparental,6
2644,174923619,0.0,2,0,El Salvador,Tigre 4,Rural,Woman,52,Biparental,4
721,176180519,0.0,2,0,El Salvador,San Antonio ,Rural,Woman,52,else,6
1089,175916237,0.0,1,0,El Salvador,Tempisque,Rural,Woman,52,Biparental,3
20,177572661,0.0,1,0,El Salvador,San cristobal,Urban,Woman,54,else,7
2955,174894593,0.0,2,0,El Salvador,Zapotilllo,Rural,Woman,54,else,3
493,176452590,0.0,2,0,El Salvador,Conacaste,Urban,Woman,54,Biparental,3
664,176184617,0.0,2,0,El Salvador,San pedro,Rural,Woman,54,else,4
3230,174622267,0.0,1,0,El Salvador,La Gema ,Rural,Woman,55,else,6
1614,175654631,0.0,1,0,El Salvador,EL MANGO,Rural,Woman,55,Biparental,8
265,176641927,0.0,2,0,El Salvador,Caserio Santo Domingo,Rural,Woman,55,Biparental,4
1100,175912538,0.0,2,0,El Salvador,Argain,Rural,Woman,56,else,3
0,177681082,0.0,2,0,El Salvador,Condominios delgado,Urban,Woman,56,else,3
3900,174021001,0.0,1,0,El Salvador,Caserio la escuelita,Rural,Woman,56,Biparental,4
411,176464699,0.0,1,0,El Salvador,COLONIA JARDINES ,Urban,Woman,56,Biparental,2
3923,174017468,0.0,2,0,El Salvador,Paniagua,Rural,Woman,58,else,7
130,177570958,0.0,1,0,El Salvador,Residencial Carolina,Urban,Woman,60,else,5
2361,175123013,0.0,1,0,El Salvador,Santa cruz,Rural,Woman,60,Biparental,2
2406,175110365,0.0,2,0,El Salvador,"Izcaquilio, Paniagua",Rural,Woman,60,Biparental,2
2283,175132845,0.0,1,0,El Salvador,Palo pique,Rural,Woman,61,Biparental,2
3934,174017344,0.0,1,0,El Salvador,Colinia Paniagua,Rural,Woman,61,Biparental,2
716,176181639,0.0,1,0,El Salvador,"Maquilishuat, caser_o san vicente",Rural,Woman,61,Biparental,3
2275,175133642,0.0,2,0,El Salvador,Los magueyes,Rural,Woman,62,else,4
2294,175132630,0.0,1,0,El Salvador,SAN FRANCISCO LOS TOLES,Rural,Woman,62,else,4
2802,174911893,0.0,2,0,El Salvador,Tulapa,Rural,Woman,62,Biparental,4
3220,174622724,0.0,2,0,El Salvador,Regale de Dios,Urban,Woman,63,Biparental,2
3229,174622283,0.0,2,0,El Salvador,La Gema,Rural,Woman,63,Biparental,3
2928,174896580,0.0,1,0,El Salvador,Barrio el calvario,Urban,Woman,64,Biparental,3
2828,174909270,0.0,1,0,El Salvador,San Jose,Rural,Woman,64,else,4
2425,175105326,0.0,2,0,El Salvador,Lomas de Alarc_n  ,Rural,Woman,64,Biparental,2
402,176464981,0.0,1,0,El Salvador,Jardines de san bartolo ,Urban,Woman,65,else,5
2311,175128150,0.0,2,0,El Salvador, canton san juan san esteban,Rural,Woman,65,else,5
2278,175133206,0.0,2,0,El Salvador,Caserio,Rural,Woman,65,else,6
259,176641991,0.0,1,0,El Salvador,Santo domingo,Rural,Woman,66,Biparental,2
193,176657297,0.0,2,0,El Salvador,CERCO DE PIEDRA,Rural,Woman,68,Biparental,3
2257,175135918,0.0,2,0,El Salvador,SAN Antonio 2,Rural,Woman,68,Biparental,3
3656,174309643,0.0,1,0,El Salvador,Barrio la Playa,Urban,Woman,70,Biparental,4
2869,174903977,0.0,1,0,El Salvador,El Calvario,Urban,Woman,70,Biparental,2
2867,174904038,0.0,2,0,El Salvador,Palo verde ,Rural,Woman,70,else,4
2330,175124731,0.0,2,0,El Salvador,CANTON santa cruz ,Rural,Woman,71,else,3
658,176184959,0.0,1,0,El Salvador,Azacualpa,Rural,Woman,71,Biparental,5
672,176184182,0.0,2,0,El Salvador,Comunidad las dantas,Rural,Woman,71,Biparental,3
2312,175128034,0.0,2,0,El Salvador,"Izcaquilio, Comunidad Los Paniagua",Rural,Woman,72,else,6
3845,174030881,0.0,2,0,El Salvador,"Ojo de agua,los granados",Rural,Woman,72,Biparental,3
3192,174628487,0.0,1,0,El Salvador,El Porvenir,Rural,Woman,73,else,4
3678,174299228,0.0,1,0,El Salvador,Salinas de sisiguayo,Rural,Woman,74,Biparental,1
659,176184953,0.0,1,0,El Salvador,Azacualpa,Rural,Woman,74,else,5
3487,174327879,0.0,1,0,El Salvador,La limonera,Rural,Woman,74,Biparental,2
4031,174001369,0.0,2,0,El Salvador,Barrio el calvario ,Urban,Woman,76,Biparental,3
1363,175672655,0.0,1,0,El Salvador,"Guayapa Arriba, El Triunfo",Rural,Woman,76,Biparental,2
760,176174619,0.0,1,0,El Salvador,Santa Marta,Rural,Woman,77,else,5
1069,175917397,0.0,1,0,El Salvador,Canton tenpisque centro,Rural,Woman,77,Biparental,1
444,176455475,0.0,2,0,El Salvador,DISTRITO ITALIA,Urban,Woman,77,Biparental,3
3001,174861245,0.0,1,0,El Salvador,El nisperal,Rural,Woman,78,Biparental,6
788,176166185,0.0,1,0,El Salvador,Miranda 1,Urban,Woman,78,Biparental,6
727,176180380,0.0,2,0,El Salvador,San Antonio,Rural,Woman,79,Biparental,2
2844,174905100,0.0,2,0,El Salvador,Los silvas,Urban,Woman,80,Biparental,2
1015,175922890,0.0,2,0,El Salvador,"San Pedro Puxtla, Barrio San Pablo",Urban,Woman,83,Biparental,3
2472,175090210,0.0,1,0,El Salvador,Lomas de Alarc_n,Rural,Woman,83,Biparental,5
3675,174299259,0.0,1,0,El Salvador,Salinas de Sisiguayo,Rural,Woman,85,Biparental,1
434,176457430,0.0,1,0,El Salvador,San Benito,Rural,Woman,86,Biparental,1
4351,173564808,0.0,1,0,Guatemala,SAN MARTIN CUCHUMATAN,Rural,Man,18,Biparental,9
2796,174913132,0.0,1,0,Guatemala,Ojechejel,Urban,Man,19,Biparental,5
3747,174047840,0.0,2,0,Guatemala,JULEN,Rural,Man,21,Biparental,3
3117,174650589,0.0,1,0,Guatemala,Ipala,Urban,Man,22,Biparental,4
1712,175440598,0.0,2,0,Guatemala,Los planes,Rural,Man,26,Biparental,4
3697,174096695,0.0,1,0,Guatemala,Chacaj,Rural,Man,26,Biparental,4
3719,174052588,0.0,1,0,Guatemala,Olopa,Urban,Man,27,Biparental,3
1689,175443304,0.0,1,0,Guatemala,TEJUTLA,Urban,Man,27,Biparental,3
4171,173737726,0.0,1,0,Guatemala,San Rafael Sochi calle el Quetzal,Urban,Man,27,Biparental,4
3103,174655695,0.0,2,0,Guatemala,LAS MINAS,Rural,Man,30,Biparental,3
4089,173748716,0.0,2,0,Guatemala,LOS LAURELES,Rural,Man,32,Biparental,3
4189,173736774,0.0,1,0,Guatemala,Caparja,Rural,Man,32,Biparental,7
3335,174364316,0.0,2,0,Guatemala,San Ildefonso,Urban,Man,33,Biparental,3
4181,173736788,0.0,1,0,Guatemala,Caparja,Rural,Man,33,Biparental,5
4419,173422983,0.0,1,0,Guatemala,Bulej,Rural,Man,34,else,5
349,176475526,0.0,2,0,Guatemala,Canlech,Rural,Man,35,Biparental,8
2457,175094436,0.0,1,0,Guatemala,Ojechen,Rural,Man,35,Biparental,3
1597,175656313,0.0,2,0,Guatemala,Aldea La Isla,Rural,Man,36,else,8
3694,174171829,0.0,2,0,Guatemala,Camojallito,Rural,Man,39,else,5
3748,174047839,0.0,2,0,Guatemala,JULEN,Rural,Man,40,Biparental,4
3375,174350324,0.0,2,0,Guatemala,FRATERNIDAD,Rural,Man,40,Biparental,3
922,175935362,0.0,2,0,Guatemala,Florida chisec,Urban,Man,42,Biparental,6
1311,175677473,0.0,1,0,Guatemala,Barrio la providencia,Urban,Man,43,Biparental,4
4115,173742928,0.0,1,0,Guatemala,LOS LAURELES,Rural,Man,43,Biparental,4
4464,173414071,0.0,2,0,Guatemala,QUIPAMBE,Rural,Man,44,Biparental,2
4804,173212939,0.0,2,0,Guatemala,CULVILLA,Rural,Man,45,Biparental,3
1350,175673120,0.0,2,0,Guatemala,SIPACAPA,Urban,Man,48,Biparental,4
4235,173674209,0.0,1,0,Guatemala,Quixal,Rural,Man,48,Biparental,5
3801,174039634,0.0,2,0,Guatemala,Nuevo progreso,Urban,Man,48,Biparental,3
4068,173760998,0.0,1,0,Guatemala,Quixal ,Rural,Man,48,Biparental,6
2112,175149128,0.0,2,0,Guatemala,IXMULCA,Rural,Man,50,Biparental,3
4286,173569138,0.0,1,0,Guatemala,TOJUCHOC,Rural,Man,50,Biparental,2
3362,174357516,0.0,1,0,Guatemala,TEMUX GRANDE,Rural,Man,50,Biparental,5
1731,175438689,0.0,1,0,Guatemala,Caserio nuevo san julian,Rural,Man,52,Biparental,8
3144,174644223,0.0,1,0,Guatemala,Aldea cacahutepeque,Rural,Man,54,Biparental,6
3038,174681475,0.0,2,0,Guatemala,Aldea Chicol Centro,Rural,Man,54,Biparental,3
853,175940963,0.0,1,0,Guatemala,Jocotan,Urban,Man,54,Biparental,2
2075,175150895,0.0,2,0,Guatemala,IXMULCA,Rural,Man,54,Biparental,4
2464,175091920,0.0,2,0,Guatemala,Aldea Majadita,Urban,Man,56,Biparental,3
