,_id,CARI_YN,mig_categ,CARI
526,176441217,0,0,1
527,176441209,0,1,2
528,176441207,0,0,1
529,176437565,0,0,1
530,176437562,0,1,2
531,176437560,0,0,2
532,176437558,0,1,1
533,176227428,0,3,1
534,176227423,0,0,1
535,176227420,0,1,1
536,176227418,0,3,1
537,176227414,0,0,1
538,176227412,0,0,1
539,176227409,0,0,1
540,176222163,1,0,3
541,176222160,1,0,3
542,176222158,1,0,3
543,176222154,1,0,3
544,176222149,1,0,3
545,176216531,0,0,2
546,176216529,0,0,2
547,176216526,0,0,1
548,176216521,0,0,2
549,176211826,0,1,1
550,176211824,0,2,1
551,176211823,0,1,2
552,176211821,0,0,2
553,176211819,0,0,2
554,176211817,0,0,2
555,176211635,0,0,2
556,176211159,0,0,2
557,176211156,1,0,3
558,176211154,0,1,1
559,176211150,0,1,2
560,176211149,0,0,2
561,176211145,0,0,1
562,176211144,0,1,1
563,176211143,1,0,3
564,176211142,0,1,1
565,176211141,0,0,2
566,176211139,0,0,2
567,176211137,1,0,3
568,176211136,1,0,3
569,176209276,0,2,1
570,176209275,0,1,1
571,176209270,0,0,1
572,176209269,0,0,1
573,176209257,0,1,1
574,176209256,0,1,1
575,176206718,0,1,2
576,176206711,0,1,1
577,176206706,0,0,1
578,176206701,0,1,2
579,176206696,0,0,2
580,176206691,0,1,2
581,176206689,0,0,1
582,176205188,0,0,1
583,176204433,0,1,2
584,176203025,1,0,3
585,176202429,0,0,1
586,176201709,1,0,3
587,176201705,0,0,2
588,176201701,0,0,1
589,176201699,0,1,2
590,176201697,0,0,2
591,176201672,0,0,1
592,176201669,0,0,1
593,176201668,0,0,1
594,176201666,0,0,2
595,176201662,0,0,1
596,176201652,1,0,3
597,176201651,0,1,2
598,176201649,1,0,3
599,176201646,0,0,2
600,176201645,0,0,2
601,176200999,0,0,1
602,176200997,0,0,2
603,176200993,0,0,2
604,176200990,1,2,3
605,176200987,0,0,2
606,176200759,0,0,1
607,176200758,0,0,1
608,176200757,0,0,1
609,176200755,0,0,1
610,176200753,0,0,1
611,176200752,0,1,2
612,176200746,0,0,1
613,176199892,1,3,3
614,176199890,1,0,3
615,176199887,1,0,4
616,176199886,1,0,3
617,176199885,1,0,4
618,176196577,1,0,4
619,176196575,1,0,3
620,176196571,1,1,3
621,176196150,0,,1
622,176196146,0,0,2
623,176196092,0,0,2
624,176196084,0,0,2
625,176195908,0,0,2
626,176195903,0,0,1
627,176195870,0,0,1
628,176195846,0,0,1
629,176195576,0,1,1
630,176195573,0,2,2
631,176195533,0,1,1
632,176195530,0,1,1
633,176195527,0,0,1
634,176189509,0,1,2
635,176189502,0,1,2
636,176189505,0,0,2
637,176188276,0,0,1
638,176188275,0,0,1
639,176188270,0,0,1
640,176188265,0,0,2
641,176188253,0,2,2
642,176188248,0,0,2
643,176188245,0,0,2
644,176188239,1,1,4
645,176188233,0,0,2
646,176187911,0,0,2
647,176187909,0,0,2
648,176187906,0,0,2
649,176187904,0,0,2
650,176185259,0,1,1
651,176185251,0,,2
652,176185063,0,0,1
653,176185062,0,,1
654,176185060,0,1,1
655,176185056,0,0,1
656,176184975,0,1,1
657,176184967,0,1,1
658,176184959,0,0,1
659,176184953,0,0,1
660,176184917,0,0,2
661,176184915,0,1,2
662,176184627,0,1,2
663,176184622,0,1,1
664,176184617,0,0,2
665,176184614,0,1,1
666,176184483,0,1,2
667,176184475,0,1,2
668,176184389,0,0,2
669,176184387,0,1,2
670,176184281,0,1,1
671,176184274,0,1,1
672,176184182,0,0,2
673,176184175,0,1,1
674,176183346,0,0,2
675,176183345,0,1,2
676,176183343,0,,2
677,176183169,0,0,2
678,176183165,0,0,1
679,176183164,1,0,3
680,176183162,0,0,1
681,176183152,0,1,2
682,176183150,0,0,1
683,176183149,0,0,2
684,176182960,0,0,1
685,176182958,0,0,1
686,176182954,0,0,2
687,176182538,0,1,1
688,176182536,0,1,1
689,176182534,0,1,2
690,176182532,0,1,1
691,176182529,0,0,1
692,176182525,0,0,1
693,176182523,0,0,2
694,176182518,0,1,2
695,176182514,0,0,2
696,176182511,0,1,1
697,176182506,0,0,1
698,176182502,0,1,2
699,176182500,0,0,1
700,176182441,0,0,1
701,176182439,0,1,1
702,176182438,0,0,1
703,176182436,0,0,1
704,176182414,0,0,2
705,176182412,0,1,1
706,176182409,0,1,1
707,176182406,0,1,2
708,176181958,0,1,2
709,176181955,0,1,1
710,176181951,0,1,1
711,176181757,0,3,1
712,176181755,0,0,1
713,176181753,0,0,2
714,176181644,0,0,2
715,176181641,0,0,1
716,176181639,0,0,1
717,176181458,0,0,2
718,176181451,0,0,2
719,176181441,0,1,2
720,176180521,0,0,1
721,176180519,0,0,2
722,176180517,0,1,2
723,176180468,0,0,2
724,176180463,0,1,1
725,176180459,0,0,1
726,176180384,0,,1
727,176180380,0,0,2
728,176180378,0,0,1
729,176176834,1,0,3
730,176176832,0,1,2
731,176176828,0,1,1
732,176176826,1,0,4
733,176176824,1,0,3
734,176176198,0,1,1
735,176176191,0,0,2
736,176176186,0,1,2
737,176176181,0,1,1
738,176176174,0,1,2
739,176175415,0,1,2
740,176175408,0,0,2
741,176175403,0,0,2
742,176174994,0,0,2
743,176174993,0,0,1
744,176174990,0,0,1
745,176174988,0,0,1
746,176174956,0,0,2
747,176174950,0,1,2
748,176174946,0,1,1
749,176174944,0,0,2
750,176174878,0,0,1
751,176174876,0,0,1
752,176174875,0,1,2
753,176174830,0,0,1
754,176174828,0,0,2
755,176174826,0,1,1
756,176174668,0,0,2
757,176174667,0,1,1
758,176174664,0,1,1
759,176174624,0,1,1
760,176174619,0,0,1
761,176174611,0,2,2
762,176174603,0,1,1
763,176174218,0,0,2
764,176174216,0,2,1
765,176174215,0,1,1
766,176174213,0,0,1
767,176174211,0,0,2
768,176174046,1,0,3
769,176174043,1,1,3
770,176174040,1,1,3
771,176173112,0,3,1
772,176173106,0,1,1
773,176173103,0,0,1
774,176172905,0,0,2
775,176172899,0,0,2
776,176172897,0,0,2
777,176172891,0,1,2
778,176166294,0,1,2
779,176166287,0,1,1
780,176166281,0,1,2
781,176166272,0,0,1
782,176166244,0,0,1
783,176166191,0,0,1
784,176166190,0,0,1
785,176166188,0,0,1
786,176166187,0,0,1
787,176166186,0,1,2
788,176166185,0,0,1
789,176166184,0,1,2
790,176166181,0,1,1
791,176166180,0,1,1
792,176166178,0,0,2
793,176166066,1,0,3
794,176166041,0,1,2
795,176166039,0,1,1
796,176166034,0,0,2
797,176166028,0,0,1
798,176152099,0,0,2
799,176152089,0,1,1
800,176146306,0,0,2
801,176141871,0,0,2
802,176141863,0,1,2
803,176141857,0,0,1
804,176141852,0,0,2
805,176141154,0,0,2
806,176141148,0,0,2
807,176141145,0,0,2
808,176140413,1,0,3
809,176140408,0,2,2
810,176140407,0,2,2
811,176140116,1,0,3
812,176140113,1,0,3
813,176140109,0,0,2
814,176140066,0,1,2
815,176140060,0,1,2
816,176140052,0,1,2
817,176137471,0,2,1
818,176137467,0,0,1
819,176137463,0,1,1
820,176134484,1,0,3
821,176080913,0,0,1
822,175961004,0,1,1
823,175954070,0,2,2
824,175954067,0,0,1
825,175954066,0,1,1
826,175953936,0,0,1
827,175953935,0,0,2
828,175953932,0,2,1
829,175946601,0,0,1
830,175946130,0,0,1
831,175946127,0,0,2
832,175946126,0,1,1
833,175946123,0,0,1
834,175946119,0,1,1
835,175946118,0,0,2
836,175946116,0,0,2
837,175941640,0,1,1
838,175941638,0,0,1
839,175941635,0,1,1
840,175941633,0,0,1
841,175941632,0,1,2
842,175941236,0,0,1
843,175941232,0,0,2
844,175941231,0,0,1
845,175941228,0,0,2
846,175941225,0,0,2
847,175941053,0,0,2
848,175941052,1,0,3
849,175941051,0,0,2
850,175941049,0,1,2
851,175941047,0,1,1
852,175940967,0,0,2
853,175940963,0,0,1
854,175940960,0,0,2
855,175940957,0,0,2
856,175940952,0,0,2
857,175940919,0,1,1
858,175940889,0,1,1
859,175940886,0,2,2
860,175940885,0,0,2
861,175940884,0,0,2
862,175940883,0,0,1
863,175940882,0,0,1
864,175940880,0,0,1
865,175940879,0,1,2
866,175940877,0,1,2
867,175940865,0,1,2
868,175940864,0,1,2
869,175940863,0,0,1
870,175940862,0,1,2
871,175940859,0,0,1
872,175940522,0,0,1
873,175940359,1,1,3
874,175939804,0,1,1
875,175939530,0,1,2
876,175939528,0,1,2
877,175939526,0,1,2
878,175939525,0,1,2
879,175939523,0,1,1
880,175939508,0,0,2
881,175939506,1,0,3
882,175939505,0,0,2
883,175939502,0,0,2
884,175939500,0,0,1
885,175939003,0,1,2
886,175938387,1,0,3
887,175938347,0,0,1
888,175938345,0,0,2
889,175938344,0,0,2
890,175938343,0,0,1
891,175938340,0,1,1
892,175938206,0,3,1
893,175938203,0,0,1
894,175938200,0,1,2
895,175938197,0,0,2
896,175938194,0,0,2
